MoleculeId,PredictedProbability
1,0.979196
2,0.978916
3,0.003643
4,0.979421
5,0.009177
6,0.002605
7,0.979440
8,0.979440
9,0.979440
10,0.979439
11,0.003446
12,0.979432
13,0.972228
14,0.978467
15,0.029659
16,0.012128
17,0.018322
18,0.013037
19,0.979405
20,0.978534
21,0.017984
22,0.979250
23,0.979440
24,0.979440
25,0.979440
26,0.979440
27,0.002861
28,0.007604
29,0.002900
30,0.979402
31,0.017569
32,0.061110
33,0.979337
34,0.003497
35,0.007243
36,0.979426
37,0.979431
38,0.106329
39,0.979440
40,0.979440
41,0.965033
42,0.004549
43,0.979438
44,0.979426
45,0.006777
46,0.979386
47,0.979440
48,0.979440
49,0.979440
50,0.978922
51,0.979440
52,0.024593
53,0.979432
54,0.004505
55,0.003133
56,0.979437
57,0.979439
58,0.979440
59,0.979440
60,0.977899
61,0.878407
62,0.979387
63,0.014192
64,0.760867
65,0.978805
66,0.704274
67,0.008847
68,0.003153
69,0.026287
70,0.002728
71,0.979408
72,0.979305
73,0.979440
74,0.979440
75,0.003074
76,0.003238
77,0.979440
78,0.004267
79,0.979436
80,0.002875
81,0.002720
82,0.021706
83,0.003839
84,0.007299
85,0.979436
86,0.748110
87,0.002957
88,0.978378
89,0.979440
90,0.003292
91,0.979426
92,0.979431
93,0.002717
94,0.919997
95,0.979185
96,0.005574
97,0.979345
98,0.979431
99,0.979430
100,0.979437
101,0.979435
102,0.979427
103,0.979440
104,0.007142
105,0.002859
106,0.004614
107,0.204943
108,0.979386
109,0.979439
110,0.002894
111,0.978753
112,0.979439
113,0.006807
114,0.979440
115,0.979439
116,0.003296
117,0.978267
118,0.002786
119,0.013958
120,0.009620
121,0.002613
122,0.002598
123,0.979422
124,0.965325
125,0.979381
126,0.769687
127,0.008098
128,0.979376
129,0.002809
130,0.004679
131,0.006730
132,0.003001
133,0.003247
134,0.979440
135,0.978885
136,0.979438
137,0.016672
138,0.978879
139,0.979440
140,0.979434
141,0.979440
142,0.978911
143,0.979436
144,0.002948
145,0.979440
146,0.013812
147,0.978046
148,0.979435
149,0.019395
150,0.938770
151,0.005583
