MoleculeId,PredictedProbability
1,0.545203
2,0.540918
3,0.543835
4,0.544888
5,0.543354
6,0.541465
7,0.539231
8,0.546669
9,0.539536
10,0.541434
11,0.542526
12,0.543492
13,0.543121
14,0.548847
15,0.545895
16,0.544314
17,0.543158
18,0.541013
19,0.544706
20,0.545977
21,0.543336
22,0.547783
23,0.544473
24,0.544172
25,0.541951
26,0.541910
27,0.541310
28,0.541921
29,0.542687
30,0.542929
31,0.545438
32,0.543815
33,0.543271
34,0.543630
35,0.540569
36,0.545289
37,0.543183
38,0.548109
39,0.545902
40,0.541245
41,0.545613
42,0.544318
43,0.541683
44,0.540751
45,0.546267
46,0.549709
47,0.540743
48,0.551349
49,0.542043
50,0.541296
51,0.543301
52,0.540695
53,0.545654
54,0.545520
55,0.542134
56,0.540484
57,0.540547
58,0.546716
59,0.539628
60,0.542206
61,0.542462
62,0.545343
63,0.542493
64,0.545893
65,0.548475
66,0.541351
67,0.541941
68,0.540666
69,0.540964
70,0.547248
71,0.541206
72,0.542818
73,0.543042
74,0.542586
75,0.544789
76,0.543622
77,0.546052
78,0.539715
79,0.541950
80,0.544762
81,0.538763
82,0.541955
83,0.542517
84,0.543002
85,0.542919
86,0.541358
87,0.547422
88,0.545802
89,0.542336
90,0.543579
91,0.541096
92,0.541224
93,0.541691
94,0.550140
95,0.546247
96,0.542846
97,0.542833
98,0.540219
99,0.546758
100,0.547238
101,0.545172
102,0.542679
103,0.543554
104,0.541907
105,0.542823
106,0.540963
107,0.542308
108,0.541597
109,0.546831
110,0.544792
111,0.542955
112,0.544858
113,0.545573
114,0.542735
115,0.547612
116,0.539818
117,0.550683
118,0.544568
119,0.541714
120,0.542071
121,0.543995
122,0.542568
123,0.544962
124,0.542689
125,0.544063
126,0.547601
127,0.542789
128,0.542772
129,0.541930
130,0.545131
131,0.547370
132,0.543301
133,0.542973
134,0.547578
135,0.544949
136,0.538810
137,0.540680
138,0.541180
139,0.543900
140,0.541997
141,0.545745
142,0.544011
143,0.542202
144,0.539994
145,0.538364
146,0.544614
147,0.542625
148,0.541797
149,0.540501
150,0.542688
151,0.542838
152,0.547257
153,0.540895
154,0.546715
155,0.541469
156,0.540683
157,0.540117
158,0.539695
159,0.541185
160,0.541549
161,0.542671
162,0.545650
163,0.542215
164,0.545000
165,0.543856
166,0.545153
167,0.542848
168,0.544746
169,0.542263
170,0.544143
171,0.546787
172,0.541990
173,0.543750
174,0.546534
175,0.545282
176,0.544541
177,0.539464
178,0.546004
179,0.545745
180,0.544364
181,0.542634
182,0.542793
183,0.547092
184,0.540736
185,0.541262
186,0.539107
187,0.543288
188,0.541710
189,0.538269
190,0.547644
191,0.539904
192,0.543997
193,0.543155
194,0.540660
195,0.540076
196,0.540886
197,0.542065
198,0.547203
199,0.542367
200,0.542740
201,0.541865
202,0.544279
203,0.541373
204,0.540270
205,0.546514
206,0.546828
207,0.544555
208,0.543961
209,0.543202
210,0.540518
211,0.542962
212,0.538762
213,0.544563
214,0.545603
215,0.542701
216,0.541673
217,0.540712
218,0.545915
219,0.549454
220,0.541899
221,0.540900
222,0.543051
223,0.546066
224,0.543481
225,0.542296
226,0.545817
227,0.542216
228,0.541638
229,0.540362
230,0.543612
231,0.544007
232,0.543818
233,0.539554
234,0.548985
235,0.540865
236,0.541435
237,0.541531
238,0.546646
239,0.543484
240,0.539674
241,0.545001
242,0.545209
243,0.540679
244,0.542749
245,0.542431
246,0.542847
247,0.542111
248,0.541378
249,0.543770
250,0.544383
251,0.544555
252,0.545414
253,0.550587
254,0.550276
255,0.544714
256,0.546398
257,0.546579
258,0.542907
259,0.541899
260,0.542773
261,0.541717
262,0.542417
263,0.542500
264,0.542317
265,0.546516
266,0.546288
267,0.541181
268,0.546695
269,0.542316
270,0.542426
271,0.539756
272,0.543927
273,0.540383
274,0.542463
275,0.547458
276,0.542314
277,0.541330
278,0.539787
279,0.541228
280,0.551791
281,0.541084
282,0.546478
283,0.539000
284,0.545187
285,0.539462
286,0.543579
287,0.543814
288,0.547009
289,0.538821
290,0.547982
291,0.539786
292,0.543041
293,0.543606
294,0.545886
295,0.542279
296,0.541848
297,0.546464
298,0.541983
299,0.538710
300,0.545461
301,0.546879
302,0.546849
303,0.541928
304,0.542687
305,0.547098
306,0.545674
307,0.543159
308,0.542306
309,0.541180
310,0.545495
311,0.543180
312,0.541008
313,0.542977
314,0.549112
315,0.542196
316,0.542262
317,0.543715
318,0.541803
319,0.543381
320,0.543521
321,0.540388
322,0.542136
323,0.547376
324,0.543259
325,0.548556
326,0.539266
327,0.540172
328,0.545221
329,0.547204
330,0.540285
331,0.543651
332,0.540727
333,0.543492
334,0.540965
335,0.539775
336,0.546446
337,0.547120
338,0.540602
339,0.540949
340,0.545423
341,0.543500
342,0.541578
343,0.542555
344,0.541069
345,0.548238
346,0.546572
347,0.544872
348,0.542613
349,0.539787
350,0.540865
351,0.544832
352,0.542509
353,0.539946
354,0.542666
355,0.543212
356,0.545398
357,0.539129
358,0.543761
359,0.546105
360,0.539981
361,0.540436
362,0.545708
363,0.542676
364,0.544028
365,0.540341
366,0.542065
367,0.541791
368,0.543060
369,0.541764
370,0.544175
371,0.541961
372,0.545776
373,0.540208
374,0.544169
375,0.546940
376,0.543502
377,0.546409
378,0.541481
379,0.543190
380,0.542753
381,0.547480
382,0.547295
383,0.540832
384,0.546085
